ID,Name,,name_in,description,Coordinates
12,传送点-杜加避难所,,Teleport Waypoint 1,,
313,传送点-河谷林场,,Teleport Waypoint 2,,
314,传送点-信号检测站,,Teleport Waypoint 3,,
315,传送点-雇佣兵营地,,,,
316,传送点-军事基地,,,,
317,传送点-坠落集市,,,,
318,传送点-河谷哨所,,,,
319,传送点-坠机丘陵,,,,
320,传送点-异星前线,,,,
321,传送点-泥泞沼泽,,,,
322,传送点-破碎河谷,,,,
323,传送点-湖滨林区,,,,
586,传送点-绿洲避难所,,,,
589,传送点-摩得尔避难所,,,,
591,传送点-地平线矿区,,,,
594,传送点-风蚀喉谷,,,,
595,传送点-中央车站,,,,
597,传送点-竞速起点,,,,
600,传送点-沙海遗迹,,,,
605,传送点-北部戈壁滩,,,,
886,传送点-晨星制所,,,,
887,传送点-暗水街,,,,
888,传送点-市民广场,,,,
889,传送点-起源工厂,,,,
890,传送点-商业中心旧址,,,,
891,传送点-伊甸城避难所,,,,
892,传送点-迷雾深渊,,,,
893,传送点-生态监测站一号,,,,
894,传送点-黑教堂,,,,
895,传送点-空间通信塔,,,,
896,传送点-地铁站,,,,
897,传送点-六号实验楼,,,,
980,传送点-雪山避难所,,,,
981,传送点-高山林场,,,,
982,传送点-三叉路口,,,,
983,传送点-临湖镇,,,,
984,传送点-临湖缆车站,,,,
985,传送点-野钓池,,,,
986,传送点-观测站,,,,
987,传送点-冻湖营地,,,,
988,传送点-隐秘基地,,,,
989,传送点-滑雪中心,,,,
990,传送点-东部缆车场,,,,
438,彩虹小丑-伊甸城中此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Rainbow Clown - Use level 2 Rod,,
440,彩虹小丑2-伊甸城中此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Rainbow Clown - Use level 2 Rod,,
398,橙色隐者-杜加河谷湖滨林区此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Orange Hermit - Use Level 2 Rod,,
399,橙色隐者-杜加河谷哨所此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Orange Hermit - Use Level 2 Rod,,
400,橙色隐者-杜加河谷晴光山洞此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Orange Hermit - Use Level 2 Rod,,
408,戈壁狗鱼-尖叫戈壁南部绿洲此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Gobi Pike - Use Level 2 Rod,,
409,戈壁狗鱼-尖叫戈壁中部废墟此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Gobi Pike - Use Level 2 Rod,,
1276,钓鱼(分享来自:快爆用户122112617),,,,
388,河谷虹鳟-杜加河谷此处钓取，需钓鱼5级并使用2级鱼竿钓取,,Rainbow Ell - Use Level 2 Rod,,
390,河谷虹鳟2-杜加河谷此处钓取，需钓鱼5级并使用2级鱼竿钓取,,Rainbow Ell - Use Level 2 Rod,,
391,河谷虹鳟3-河谷林场此处钓取，需钓鱼5级并使用2级鱼竿钓取,,Rainbow Ell - Use Level 2 Rod,,
392,河谷虹鳟4-幽兰花海此处钓取，需钓鱼5级并使用2级鱼竿钓取,,Rainbow Ell - Use Level 2 Rod,,
429,蝴蝶仙子-尖叫戈壁东部城区此处垂钓获取，需钓鱼5级并使用2级鱼竿钓取,,Butterfly Fairy - Use Level 2 Rod,,
20,探秘寻宝-杜加河谷1,,Treasure Hunt - Sundale Valley 1,"262, 225","262, 225"
21,探秘寻宝-杜加河谷2,,Treasure Hunt - Sundale Valley 2,,"231, 236"
22,探秘寻宝-杜加河谷3,,Treasure Hunt - Sundale Valley 3,,"320, 182"
23,探秘寻宝-杜加河谷4,,Treasure Hunt - Sundale Valley 4,,"360, 146"
24,探秘寻宝-杜加河谷5,,Treasure Hunt - Sundale Valley 5,,"368, 140"
25,探秘寻宝-杜加河谷6,,Treasure Hunt - Sundale Valley 6,,"405, 160"
26,探秘寻宝-杜加河谷7,,Treasure Hunt - Sundale Valley 7,,"428, 145"
27,探秘寻宝-杜加河谷8,,Treasure Hunt - Sundale Valley 8,,"143, 156"
28,探秘寻宝-杜加河谷9,,Treasure Hunt - Sundale Valley 9,,"493, 102"
29,探秘寻宝-杜加河谷10,,Treasure Hunt - Sundale Valley 10,,"433, 131"
30,探秘寻宝-杜加河谷11,,Treasure Hunt - Sundale Valley 11,,"484, 64"
31,探秘寻宝-杜加河谷12,,Treasure Hunt - Sundale Valley 12,,"472, 121"
32,探秘寻宝-杜加河谷13,,Treasure Hunt - Sundale Valley 13,,"453, 179"
33,探秘寻宝-杜加河谷14,,Treasure Hunt - Sundale Valley 14,,"471, 222"
34,探秘寻宝-杜加河谷15,,Treasure Hunt - Sundale Valley 15,,"496, 212"
35,探秘寻宝-杜加河谷16,,Treasure Hunt - Sundale Valley 16,,"482, 199"
36,探秘寻宝-杜加河谷17,,Treasure Hunt - Sundale Valley 17,,"510, 207"
37,探秘寻宝-杜加河谷18,,Treasure Hunt - Sundale Valley 18,,"543, 210"
38,探秘寻宝-杜加河谷19,,Treasure Hunt - Sundale Valley 19,,"485, 189"
39,探秘寻宝-杜加河谷20,,Treasure Hunt - Sundale Valley 20,,"495, 164"
40,探秘寻宝-杜加河谷21,,Treasure Hunt - Sundale Valley 21,,"508, 168"
41,探秘寻宝-杜加河谷22,,Treasure Hunt - Sundale Valley 22,,"529, 176"
42,探秘寻宝-杜加河谷23,,Treasure Hunt - Sundale Valley 23,,"504, 142"
43,探秘寻宝-杜加河谷24,,Treasure Hunt - Sundale Valley 24,,"704, 173"
44,探秘寻宝-杜加河谷25,,Treasure Hunt - Sundale Valley 25,,"705, 116"
45,探秘寻宝-杜加河谷26,,Treasure Hunt - Sundale Valley 26,,"742, 86"
46,探秘寻宝-杜加河谷27,,Treasure Hunt - Sundale Valley 27,,"783, 125"
47,探秘寻宝-杜加河谷28,,Treasure Hunt - Sundale Valley 28,,"785, 129"
48,探秘寻宝-杜加河谷29,,Treasure Hunt - Sundale Valley 29,,"783, 231"
49,探秘寻宝-杜加河谷30,,Treasure Hunt - Sundale Valley 30,,"834, 212"
50,探秘寻宝-杜加河谷31,,Treasure Hunt - Sundale Valley 31,,"829, 139"
51,探秘寻宝-杜加河谷32,,Treasure Hunt - Sundale Valley 32,,"852, 109"
54,探秘寻宝-杜加河谷33,,Treasure Hunt - Sundale Valley 33,,"840, 69"
55,探秘寻宝-杜加河谷34,,Treasure Hunt - Sundale Valley 34,,"877, 142"
56,探秘寻宝-杜加河谷35,,Treasure Hunt - Sundale Valley 35,,"872, 163"
57,探秘寻宝-杜加河谷36,,Treasure Hunt - Sundale Valley 36,,"864, 232"
58,探秘寻宝-杜加河谷37,,Treasure Hunt - Sundale Valley 37,,"867, 271"
59,探秘寻宝-杜加河谷38,,Treasure Hunt - Sundale Valley 38,,"860, 277"
60,探秘寻宝-杜加河谷39,,Treasure Hunt - Sundale Valley 39,,"1025, 183"
61,探秘寻宝-杜加河谷40,,Treasure Hunt - Sundale Valley 40,,"1100, 212"
62,探秘寻宝-杜加河谷41,,Treasure Hunt - Sundale Valley 41,,"1108, 259"
63,探秘寻宝-杜加河谷42,,Treasure Hunt - Sundale Valley 42,,"1269, 109"
64,探秘寻宝-杜加河谷43,,Treasure Hunt - Sundale Valley 43,,"1273, 112"
65,探秘寻宝-杜加河谷44,,Treasure Hunt - Sundale Valley 44,,"1291, 94"
